2.214286,4161
2.214286,548
2.214286,-1200
2.214286,-1167
2.214286,1920
2.214286,2002
2.214286,-6592
2.214286,6289
2.214286,-854
2.214286,-5553
2.214286,5554
2.214286,-1897
2.214286,-967
2.214286,413
2.214286,1478
2.214286,-1952
2.214286,949
2.214286,-75
2.214286,159
2.214286,-1201
2.214286,2596
2.214286,-2313
2.214286,2598
2.214286,-5455
2.214286,4234
2.214286,1264
2.214286,-4654
2.214286,3616
2.214286,-1199
2.214286,-3857
2.214286,4121
2.214286,2429
2.214286,-6244
2.214286,5227
2.214286,-3052
2.214286,7312
2.214286,-7314
2.214286,2280
2.214286,118
2.214286,4360
2.214286,-7512
2.214286,4644
2.214286,6470
2.214286,-3102
2.214286,-2162
2.214286,-1732
2.214286,4386
2.214286,-3930
2.214286,826
2.214286,-5086
2.214286,5097
2.214286,-2426
2.214286,8653
2.214286,6751
2.214286,1605
2.214286,-6013
2.214286,8869
2.214286,-14
2.214286,1870
2.214286,2924
2.214286,6427
2.214286,-5827
2.214286,-5854
2.214286,15166
2.214286,1116
2.214286,-10928
2.214286,12236
2.214286,-12227
2.214286,-2863
2.214286,11933
2.214286,-8409
2.214286,14555
2.214286,2106
2.214286,-8713
2.214286,2927
2.214286,7212
2.214286,9226
2.214286,-1286
2.214286,2267
2.214286,1755
2.214286,2036
2.214286,-5583
2.214286,2327
2.214286,857
2.214286,-6073
2.214286,-8674
2.214286,11826
2.214286,309
2.214286,-13326
2.214286,-9889
2.214286,8966
2.214286,-10455
2.214286,17671
2.214286,-5199
2.214286,-4170
2.214286,2399
2.214286,2628
2.214286,-2666
2.214286,-8945
2.214286,11490
2.214286,2881
2.214286,-1754
2.214286,2521
2.214286,3235
2.214286,4047
2.214286,4394
2.214286,-12295
2.25,-92
2.25,8228
2.25,-3327
2.25,21086
2.25,-23413
2.25,9702
2.25,17
2.25,-2282
2.25,3335
2.25,-1671
2.25,-1338
2.25,-2315
2.25,3629
2.25,1896
2.25,-9714
2.25,11143
2.25,-5267
2.25,-3723
2.25,6248
2.25,-2384
2.25,-797
2.25,563
2.25,1029
2.25,-1629
2.25,592
2.25,506
2.25,82
2.25,-1920
2.25,3264
2.25,-2116
2.25,761
2.25,-2770
2.25,3751
2.25,820
2.25,-4683
2.25,697
2.25,1015
2.25,-2650
2.25,3998
2.25,2062
2.25,-5979
2.25,2715
2.25,-1695
2.25,6128
2.25,-5348
2.25,-4368
2.25,3587
2.25,3215
2.25,-7518
2.25,325
2.25,3432
2.25,-59
2.25,-4094
2.25,-3824
2.25,5763
2.25,-1745
2.25,-10692
2.25,3006
2.25,7440
2.25,-11906
2.25,7581
2.25,7141
2.25,-4735
2.25,-5394
2.25,7172
2.25,-1769
2.25,-843
2.25,-7615
2.25,14247
2.25,-3182
2.25,-1149
2.25,5810
2.25,19244
2.25,-22224
2.25,-2334
2.25,-1575
2.25,808
2.25,4316
2.25,4291
2.25,868
2.25,3443
2.25,-5453
2.25,-2221
2.25,-1853
2.25,-3224
2.25,4628
2.25,-3373
2.25,7499
2.25,7554
2.25,4065
2.25,2759
2.25,295
2.25,-1183
2.25,-12835
2.25,-4723
2.25,-1066
2.25,4351
2.25,-4431
2.25,-1758
2.25,-619
2.25,-4021
2.25,8958
2.25,-5231
2.25,2944
2.25,-2624
2.25,-6393
2.25,-9645
2.25,5096
2.25,-1810
2.25,3394
2.25,2809
2.25,-13428
2.25,14280
2.25,-12142
2.25,7237
2.285715,5109
2.285715,985
2.285715,-7484
2.285715,14871
2.285715,-21094
2.285715,7989
2.285715,-2430
2.285715,211
2.285715,101
2.285715,-2823
2.285715,155
2.285715,-2828
2.285715,4597
2.285715,803
2.285715,-10190
2.285715,12249
2.285715,-8274
2.285715,715
2.285715,5008
2.285715,-1046
2.285715,-1839
2.285715,456
2.285715,1145
2.285715,-1790
2.285715,435
2.285715,765
2.285715,-245
2.285715,-1795
2.285715,3217
2.285715,-1154
2.285715,284
2.285715,-1848
2.285715,2010
2.285715,486
2.285715,-2866
2.285715,2521
2.285715,-989
2.285715,-538
2.285715,367
2.285715,4647
2.285715,-7298
2.285715,3225
2.285715,-2020
2.285715,4973
2.285715,-879
2.285715,1225
2.285715,1769
2.285715,7160
2.285715,-7956
2.285715,4140
2.285715,4639
2.285715,692
2.285715,-5254
2.285715,-5135
2.285715,7732
2.285715,-1089
2.285715,-6766
2.285715,2302
2.285715,9782
2.285715,-7416
2.285715,1405
2.285715,4865
2.285715,-3849
2.285715,-7115
2.285715,6418
2.285715,-3454
2.285715,-7277
2.285715,1194
2.285715,13514
2.285715,-8658
2.285715,-874
2.285715,-2645
2.285715,4213
2.285715,-5744
2.285715,-5181
2.285715,11030
2.285715,-4546
2.285715,12577
2.285715,18318
2.285715,-6098
2.285715,-5532
2.285715,1690
2.285715,-10991
2.285715,2482
2.285715,-4034
2.285715,2961
2.285715,9726
2.285715,-12012
2.285715,2281
2.285715,7168
2.285715,-17870
2.285715,10557
2.285715,-6200
2.285715,21492
2.285715,-515
2.285715,-743
2.285715,259
2.285715,6786
2.285715,-15013
2.285715,6636
2.285715,-1137
2.285715,-4939
2.285715,-8051
2.285715,12003
2.285715,-8687
2.285715,-1479
2.285715,37
2.285715,-8900
2.285715,12802
2.285715,-25639
2.285715,6396
2.285715,-16399
2.285715,17338
2.285715,-8219
2.285715,20218
2.321429,8440
2.321429,-4012
2.321429,-12896
2.321429,10669
2.321429,-15175
2.321429,4847
2.321429,-2454
2.321429,1587
2.321429,-2956
2.321429,-2273
2.321429,2345
2.321429,-3272
2.321429,4878
2.321429,-1046
2.321429,-8011
2.321429,12736
2.321429,-11574
2.321429,7823
2.321429,1141
2.321429,375
2.321429,-2287
2.321429,-215
2.321429,2025
2.321429,-2211
2.321429,-13
2.321429,1782
2.321429,-1608
2.321429,-639
2.321429,3065
2.321429,-1867
2.321429,296
2.321429,-764
2.321429,1492
2.321429,-9
2.321429,-1012
2.321429,1289
2.321429,1653
2.321429,-2659
2.321429,149
2.321429,1382
2.321429,-7040
2.321429,5611
2.321429,-3810
2.321429,2724
2.321429,-178
2.321429,-1652
2.321429,2518
